“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-28 21:00:00,7,28,3,28,2,0.011940298507462687
2022-07-28 22:00:00,7,28,3,30,44,0.3611940298507463
2022-07-28 23:00:00,7,28,3,31,38,0.33134328358208953
2022-07-29 07:00:00,7,29,4,30,5,0.0208955223880597
2022-07-29 08:00:00,7,29,4,32,60,0.373134328358209
2022-07-29 09:00:00,7,29,4,32,45,0.2835820895522388
2022-07-29 10:00:00,7,29,4,33,42,0.2
2022-07-29 11:00:00,7,29,4,35,43,0.20298507462686566
2022-07-29 12:00:00,7,29,4,36,48,0.26268656716417915
2022-07-29 13:00:00,7,29,4,36,42,0.23283582089552238
2022-07-29 14:00:00,7,29,4,37,54,0.3522388059701493
2022-07-29 15:00:00,7,29,4,38,60,0.47164179104477616
2022-07-29 16:00:00,7,29,4,37,54,0.3074626865671642
2022-07-29 17:00:00,7,29,4,34,54,0.29253731343283584
2022-07-29 21:00:00,7,29,4,32,38,0.31940298507462683
2022-07-30 01:00:00,7,30,5,28,42,0.14029850746268657
2022-07-30 02:00:00,7,30,5,28,60,0.19402985074626866
2022-07-30 03:00:00,7,30,5,28,60,0.19402985074626866
2022-07-30 04:00:00,7,30,5,31,60,0.22686567164179103
2022-07-30 05:00:00,7,30,5,28,60,0.208955223880597
2022-07-30 06:00:00,7,30,5,28,38,0.16119402985074627
2022-07-30 07:00:00,7,30,5,33,60,0.5074626865671642
2022-07-30 08:00:00,7,30,5,34,60,0.4298507462686567
2022-07-30 09:00:00,7,30,5,35,60,0.3850746268656717
2022-07-30 10:00:00,7,30,5,36,60,0.25074626865671645
2022-07-30 11:00:00,7,30,5,37,60,0.2716417910447761
2022-07-30 12:00:00,7,30,5,37,60,0.29253731343283584
2022-07-30 13:00:00,7,30,5,38,60,0.23582089552238808
2022-07-30 14:00:00,7,30,5,36,60,0.24776119402985078
2022-07-30 15:00:00,7,30,5,36,60,0.28955223880597014
2022-07-30 16:00:00,7,30,5,36,60,0.25074626865671645
2022-07-30 17:00:00,7,30,5,34,60,0.24477611940298505
2022-07-31 06:00:00,7,31,6,33,19,0.1880597014925373
2022-07-31 07:00:00,7,31,6,34,60,0.6477611940298508
2022-07-31 08:00:00,7,31,6,35,60,0.5432835820895522
2022-07-31 09:00:00,7,31,6,35,60,0.44776119402985076
2022-07-31 10:00:00,7,31,6,38,60,0.44776119402985076
2022-07-31 11:00:00,7,31,6,37,60,0.4626865671641791
2022-07-31 12:00:00,7,31,6,38,34,0.1671641791044776
2022-07-31 13:00:00,7,31,6,37,33,0.11641791044776119
2022-07-31 14:00:00,7,31,6,38,39,0.14328358208955225
2022-07-31 15:00:00,7,31,6,38,47,0.22388059701492538
2022-07-31 16:00:00,7,31,6,36,38,0.1701492537313433
2022-07-31 17:00:00,7,31,6,36,39,0.17611940298507464
2022-08-01 06:00:00,8,1,0,33,14,0.13432835820895522
2022-08-01 07:00:00,8,1,0,34,60,0.3970149253731344
2022-08-01 08:00:00,8,1,0,35,60,0.3522388059701493
2022-08-01 09:00:00,8,1,0,37,60,0.4507462686567164
2022-08-01 10:00:00,8,1,0,39,59,0.4865671641791045
2022-08-01 11:00:00,8,1,0,41,60,0.45671641791044776
2022-08-01 12:00:00,8,1,0,41,60,0.4686567164179104
2022-08-01 13:00:00,8,1,0,41,60,0.4746268656716418
2022-08-01 14:00:00,8,1,0,41,60,0.5074626865671642
2022-08-01 15:00:00,8,1,0,41,60,0.5343283582089552
2022-08-01 16:00:00,8,1,0,40,60,0.4686567164179104
2022-08-01 17:00:00,8,1,0,37,60,0.4686567164179104
2022-08-01 18:00:00,8,1,0,34,31,0.2776119402985075
2022-08-01 19:00:00,8,1,0,35,60,0.4925373134328358
2022-08-01 21:00:00,8,1,0,34,23,0.2
2022-08-01 22:00:00,8,1,0,35,50,0.40298507462686567
2022-08-01 23:00:00,8,1,0,33,60,0.5014925373134329
2022-08-02 00:00:00,8,2,1,31,60,0.5014925373134329
2022-08-02 01:00:00,8,2,1,30,60,0.4865671641791045
2022-08-02 02:00:00,8,2,1,31,60,0.45671641791044776
2022-08-02 03:00:00,8,2,1,32,60,0.47761194029850745
2022-08-02 04:00:00,8,2,1,31,60,0.45970149253731346
2022-08-02 05:00:00,8,2,1,31,60,0.45373134328358206
2022-08-02 06:00:00,8,2,1,31,60,0.4686567164179104
2022-08-02 07:00:00,8,2,1,33,60,0.45373134328358206
2022-08-02 08:00:00,8,2,1,34,43,0.1970149253731343
2022-08-02 09:00:00,8,2,1,35,43,0.25671641791044775
2022-08-02 10:00:00,8,2,1,38,46,0.30149253731343284
2022-08-02 11:00:00,8,2,1,41,53,0.3880597014925373
2022-08-02 12:00:00,8,2,1,43,60,0.47761194029850745
2022-08-02 13:00:00,8,2,1,42,60,0.4895522388059701
2022-08-02 14:00:00,8,2,1,43,60,0.5253731343283583
2022-08-02 15:00:00,8,2,1,42,60,0.5880597014925373
2022-08-02 16:00:00,8,2,1,42,60,0.5522388059701493
2022-08-02 17:00:00,8,2,1,40,60,0.5074626865671642
2022-08-02 18:00:00,8,2,1,37,57,0.3462686567164179
2022-08-02 19:00:00,8,2,1,35,60,0.34328358208955223
2022-08-02 21:00:00,8,2,1,32,57,0.1671641791044776
2022-08-03 06:00:00,8,3,2,34,15,0.14328358208955225
2022-08-03 07:00:00,8,3,2,35,60,0.582089552238806
2022-08-03 08:00:00,8,3,2,35,60,0.46567164179104475
2022-08-03 09:00:00,8,3,2,37,60,0.47761194029850745
2022-08-03 10:00:00,8,3,2,40,60,0.5164179104477612
2022-08-03 11:00:00,8,3,2,40,60,0.4895522388059701
2022-08-03 12:00:00,8,3,2,42,60,0.45970149253731346
2022-08-03 13:00:00,8,3,2,42,60,0.49850746268656715
2022-08-03 14:00:00,8,3,2,42,60,0.5611940298507463
2022-08-03 15:00:00,8,3,2,39,60,0.4865671641791045
2022-08-03 16:00:00,8,3,2,39,60,0.49850746268656715
2022-08-03 17:00:00,8,3,2,39,60,0.5044776119402985
2022-08-03 18:00:00,8,3,2,35,29,0.2208955223880597
2022-08-03 19:00:00,8,3,2,36,60,0.33731343283582094
2022-08-03 20:00:00,8,3,2,36,1,0.008955223880597015
2022-08-04 06:00:00,8,4,3,28,13,0.11641791044776119
2022-08-04 07:00:00,8,4,3,28,60,0.5014925373134329
2022-08-04 08:00:00,8,4,3,29,60,0.3582089552238806
2022-08-04 09:00:00,8,4,3,28,60,0.30149253731343284
2022-08-04 10:00:00,8,4,3,30,60,0.3970149253731344
