,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,日時
2018-12-28,29.0,1.0,32.0,15.0,19.0,16.0,2018-12-28
2018-12-29,4.0,2.0,2.0,2.0,2.0,1.0,2018-12-29
2018-12-30,3.0,1.0,1.0,1.0,1.0,1.0,2018-12-30
2018-12-31,3.0,2.0,2.0,1.0,1.0,2.0,2018-12-31
2019-01-01,4.0,1.0,2.0,1.0,1.0,1.0,2019-01-01
2019-01-02,3.0,2.0,1.0,1.0,1.0,1.0,2019-01-02
2019-01-03,3.0,1.0,2.0,2.0,2.0,1.0,2019-01-03
2019-01-04,33.0,1.0,35.0,20.0,23.0,17.0,2019-01-04
2019-01-05,4.0,2.0,2.0,1.0,1.0,1.0,2019-01-05
2019-01-06,3.0,1.0,2.0,2.0,1.0,1.0,2019-01-06
2019-01-07,34.0,2.0,31.0,17.0,21.0,15.0,2019-01-07
2019-01-08,33.0,1.0,33.0,18.0,21.0,16.0,2019-01-08
2019-01-09,33.0,2.0,33.0,18.0,20.0,17.0,2019-01-09
2019-01-10,35.0,1.0,35.0,17.0,22.0,17.0,2019-01-10
2019-01-11,32.0,2.0,28.0,17.0,18.0,15.0,2019-01-11
2019-01-12,14.0,1.0,2.0,1.0,1.0,2.0,2019-01-12
2019-01-13,3.0,2.0,2.0,1.0,1.0,1.0,2019-01-13
2019-01-14,4.0,1.0,2.0,1.0,1.0,1.0,2019-01-14
2019-01-15,32.0,2.0,34.0,17.0,21.0,16.0,2019-01-15
2019-01-16,28.0,1.0,29.0,15.0,17.0,16.0,2019-01-16
2019-01-17,29.0,2.0,28.0,17.0,17.0,16.0,2019-01-17
2019-01-18,32.0,1.0,31.0,17.0,19.0,16.0,2019-01-18
2019-01-19,25.0,2.0,1.0,1.0,1.0,1.0,2019-01-19
2019-01-20,14.0,1.0,2.0,1.0,1.0,1.0,2019-01-20
2019-01-21,32.0,2.0,30.0,16.0,20.0,16.0,2019-01-21
2019-01-22,31.0,1.0,31.0,17.0,19.0,15.0,2019-01-22
2019-01-23,32.0,1.0,29.0,16.0,18.0,16.0,2019-01-23
2019-01-24,32.0,2.0,30.0,18.0,19.0,15.0,2019-01-24
2019-01-25,33.0,1.0,30.0,16.0,19.0,17.0,2019-01-25
2019-01-26,8.0,2.0,1.0,1.0,1.0,2.0,2019-01-26
2019-01-27,10.0,1.0,2.0,1.0,1.0,1.0,2019-01-27
2019-01-28,32.0,2.0,29.0,17.0,18.0,15.0,2019-01-28
2019-01-29,33.0,1.0,30.0,16.0,20.0,17.0,2019-01-29
2019-01-30,34.0,2.0,31.0,16.0,18.0,15.0,2019-01-30
2019-01-31,34.0,1.0,29.0,16.0,18.0,15.0,2019-01-31
2019-02-01,36.0,2.0,32.0,15.0,20.0,16.0,2019-02-01
