,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1100,1.33,1.0,1.0
1101,1.39,2.0,1.99
1102,1.21,1.0,1.0
1103,1.1,1.0,1.0
1104,1.13,1.0,1.0
1106,1.16,1.0,1.0
1107,1.45,2.0,1.96
1108,1.19,1.0,0.97
1110,1.31,1.0,1.0
1111,1.17,1.0,1.0
1113,1.55,2.0,2.0
1115,1.28,1.0,0.86
1116,1.25,1.0,0.99
1118,1.17,1.0,1.0
1120,1.33,1.0,1.01
1121,1.26,1.0,0.95
1123,1.21,1.0,0.8
1124,1.14,1.0,0.99
1125,1.24,1.0,1.0
1126,1.61,2.0,2.48
1129,1.23,1.0,1.11
1130,1.29,1.0,1.04
1132,1.35,1.0,1.0
1134,1.6,1.0,1.0
1135,1.12,1.0,1.0
1137,1.24,1.0,1.0
1138,1.28,1.0,1.01
1139,1.73,2.0,1.99
1140,1.44,1.0,1.23
1141,1.24,1.0,0.91
1142,1.23,1.0,1.0
1143,1.17,1.0,0.99
1144,1.19,1.0,1.0
1146,1.53,2.0,1.86
1147,1.39,1.0,0.92
1148,1.12,1.0,1.0
1150,1.25,1.0,1.0
1153,1.28,1.0,1.0
1154,1.29,1.0,1.0
1155,1.11,1.0,1.0
1156,1.22,1.0,1.0
1158,1.47,2.0,2.08
1159,1.46,1.0,0.99
1160,1.85,1.0,1.34
1161,1.63,2.0,1.97
1166,1.27,1.0,1.0
1167,1.45,2.0,1.99
1171,1.36,2.0,1.99
1172,1.25,1.0,1.0
1175,1.1,1.0,1.0
1176,1.31,2.0,2.03
1179,1.15,1.0,1.0
1180,1.41,2.0,2.04
1182,1.04,1.0,0.99
1183,1.1,1.0,0.96
1184,1.16,1.0,0.99
1185,1.59,2.0,2.71
1186,1.82,2.0,2.81
1187,1.79,1.0,1.69
1188,2.33,9.0,4.36
1189,2.33,8.0,4.36
1190,1.51,2.0,2.22
1191,1.53,2.0,2.14
1193,1.32,1.0,1.0
1194,1.19,1.0,0.99
1195,1.53,2.0,2.36
1197,1.86,5.0,3.05
1198,1.54,3.0,2.63
1201,1.51,1.0,1.35
1202,1.15,1.0,1.12
1205,1.51,1.0,1.11
1207,1.23,1.0,1.14
1208,1.17,1.0,1.16
1209,1.29,1.0,1.34
1210,1.25,1.0,1.16
1214,1.5,2.0,1.99
1215,1.19,1.0,0.92
1216,1.29,1.0,1.01
1217,1.28,1.0,1.03
1218,1.3,1.0,1.07
1219,1.28,1.0,1.21
1220,1.19,1.0,1.1
1221,1.25,1.0,1.05
1222,1.14,1.0,1.02
1223,1.19,1.0,0.93
1225,1.31,2.0,1.98
1227,1.15,1.0,1.05
1229,1.17,1.0,0.99
1230,1.24,1.0,0.95
1233,1.13,1.0,1.08
1234,1.08,1.0,0.95
1235,1.15,1.0,0.98
1236,1.45,2.0,1.98
1238,1.19,1.0,0.92
1239,1.36,1.0,1.12
1241,1.15,1.0,0.99
1242,1.11,1.0,1.03
1243,1.12,1.0,1.04
1245,1.06,1.0,1.02
1246,1.09,1.0,1.02
1247,1.29,2.0,2.18
1248,1.21,1.0,1.02
1250,1.22,1.0,1.0
1251,1.15,1.0,1.02
1252,1.15,1.0,0.98
1253,1.22,1.0,0.97
1254,1.08,1.0,0.92
1255,1.1,1.0,0.97
1256,1.47,2.0,2.26
1257,1.07,1.0,0.92
1258,1.12,1.0,1.03
1259,1.11,1.0,1.0
1260,1.04,1.0,1.0
1261,1.14,1.0,1.0
1262,1.12,1.0,1.0
1263,1.19,1.0,1.0
1264,1.23,2.0,1.99
1265,1.05,1.0,0.99
1266,1.09,1.0,1.0
1267,1.09,1.0,1.0
1268,1.06,1.0,1.0
1270,1.19,1.0,1.0
1271,1.24,1.0,1.01
1273,1.15,1.0,1.0
1274,1.12,1.0,1.0
1275,1.14,1.0,1.0
1276,1.1,1.0,1.0
1277,1.12,1.0,1.0
1278,1.11,1.0,1.01
1280,1.22,1.0,0.97
1281,1.14,1.0,1.0
1282,1.16,1.0,1.0
1283,1.08,1.0,1.0
1284,1.05,1.0,1.0
1286,1.29,2.0,2.05
1287,1.13,1.0,1.0
1288,1.12,1.0,1.0
1289,1.11,1.0,1.0
1290,1.03,1.0,1.0
1291,1.08,1.0,0.99
1292,1.08,1.0,1.0
1293,1.2,2.0,2.02
1294,1.11,1.0,1.0
1296,1.06,1.0,1.0
1297,1.02,1.0,1.0
1298,1.06,1.0,1.0
1299,1.06,1.0,1.0
1300,1.26,2.0,2.05
1301,1.06,1.0,1.0
1302,1.04,1.0,1.0
