リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,25,0,0,26,27.2,0,0,26,25.5,0,0
26,25.2,0,0,26,27.4,0,0,26,25.6,0,0
26,25.7,0,0,26,27.3,0,0,26,25.8,0,0
26,25.8,0,0,26,27.4,0,0,26,25.9,0,0
26,25.1,60,8,26,26.7,60,56,26,25,60,8
26,25.2,0,0,26,27.2,0,0,26,23.6,0,0
26,25.6,60,0,26,27.6,60,56,26,26.5,60,0
26,26.1,0,0,26,28.1,0,0,26,26.6,0,0
26,26,60,0,26,29.1,60,56,26,26.8,60,0
26,26.3,0,0,26,29.6,0,0,26,26.9,0,0
26,26.1,60,0,26,29.6,60,56,26,26,60,3
26,26.4,0,0,26,29.9,0,0,26,26.3,0,0
26,25.9,60,0,26,29.4,60,56,26,25.5,60,9
26,25.8,0,0,26,29.2,0,0,26,24.1,0,0
26,24.3,0,0,26,28.6,0,0,26,26.3,0,0
26,25.7,0,0,26,27.2,0,0,26,26,0,0
26,25.7,0,0,26,27.6,0,0,26,26.3,0,0
26,25.9,0,0,26,27.2,0,0,26,26.2,0,0
26,25.9,0,0,26,27.1,0,0,26,26.1,0,0
26,25.9,0,0,26,26.4,0,0,26,26.2,0,0
26,25.9,0,0,26,26.3,0,0,26,26.2,0,0
26,25.8,0,0,26,26,0,0,26,26.2,0,0
26,25.8,0,0,26,26.4,0,0,26,26.1,0,0
26,25.7,0,0,26,26.1,0,0,26,25.9,0,0
26,25.7,0,0,26,26.3,0,0,26,26,0,0
26,25.7,0,0,26,26.6,0,0,26,26.2,0,0
26,25.7,0,0,26,26.8,0,0,26,26,0,0
26,25.5,0,0,26,26.5,0,0,26,26,0,0
26,25.9,60,11,26,28.1,60,57,26,24.9,60,10
26,25.4,60,24,26,27.9,60,60,26,24.9,60,5
26,25.9,60,0,26,28.3,60,60,26,25.7,60,6
26,25.8,60,0,26,28.4,60,60,26,25.1,60,8
26,25.7,60,0,26,28.1,60,60,26,25.4,60,7
26,25.5,60,21,26,28,60,60,26,24.5,60,12
26,25.5,60,0,26,27.8,60,60,26,24.9,60,7
26,25.6,60,0,26,27.6,60,60,26,25.4,60,7
26,25.4,60,0,26,27.1,60,60,26,25.5,60,8
